request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_181,293.42,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.2 request. Although USD 293.42 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,23072142.7,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This leaves at least IDR 11,878,300 available."
request_184,7505.36,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 7,505.36 is available today, the full amount cannot be completed safely within 90 days."
request_185,311.52,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.3 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,3753.7,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26,554 request. Although ZAR 3,753.7 is available today, the full amount cannot be completed safely within 90 days."
request_187,37383.59,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,62.27,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464 request. Although EUR 62.27 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.4 today. This leaves at least EUR 400 available over the next 90 days.
request_190,440.12,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,557.5 request. Although EUR 440.12 is available today, the full amount cannot be completed safely within 90 days."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.4 today. This leaves at least EUR 500 available over the next 90 days.
request_192,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,37.71,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,33321.83,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800 in full on 23 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,967.04,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.3 today. This leaves at least EUR 500 available over the next 90 days.
request_197,19080722.39,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 50,939,000 request. Although IDR 19,080,722.39 is available today, the full amount cannot be completed safely within 90 days."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,573.35,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4413.69,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,3056556.08,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1509.06,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,509.06 is available today, the full amount cannot be completed safely within 90 days."
request_210,831.18,affordable_with_plan,partial_payment,2026-04-06:831.18|2026-04-15:528.84,2026-04-15,none,"Pay USD 831.18 today and the remaining USD 528.84 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,259.76,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,"Pay EUR 1,788.6 in full on 15 September 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,3390660.24,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 3,390,660.24 is available today, the full amount cannot be completed safely within 90 days."
request_213,2332.49,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,362.4 request. Although USD 2,332.49 is available today, the full amount cannot be completed safely within 90 days."
request_214,40942.2,affordable_with_plan,partial_payment,2024-12-04:40942.20|2024-12-15:28807.80,2024-12-15,none,"Pay INR 40,942.2 today and the remaining INR 28,807.8 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,469.11,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.4 in full on 15 September 2026. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,18831.47,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 37,180 request. Although ZAR 18,831.47 is available today, the full amount cannot be completed safely within 90 days."
request_218,24227298.37,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,698.4,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,55.49,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.5 request. Although EUR 55.49 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.7 today. This leaves at least EUR 800 available over the next 90 days.
request_224,9777124.64,affordable_with_plan,partial_payment,2025-02-04:9777124.64|2025-02-15:549875.36,2025-02-15,none,"Pay IDR 9,777,124.64 today and the remaining IDR 549,875.36 on 15 February 2025. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,9501844.95,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2025. None of the available options keeps the INR 209,400 minimum protected."
request_227,6848.51,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 6,848.51 is available today, the full amount cannot be completed safely within 90 days."
request_228,1448291.83,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000 request. Although IDR 1,448,291.83 is available today, the full amount cannot be completed safely within 90 days."
request_229,431.17,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.6 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,30862.48,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,638.42,affordable_later,wait,2024-06-15:1970.10,2024-06-15,none,"Pay EUR 1,970.1 in full on 15 June 2024. Paying earlier would take the balance below the EUR 2,400 minimum."
request_233,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,183.8,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.3 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 700 available over the next 90 days.
request_236,5867762.73,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 5,867,762.73 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13823.8,affordable_with_plan,partial_payment,2026-01-06:13823.80|2026-03-15:87376.20,2026-03-15,none,"Pay INR 13,823.8 today and the remaining INR 87,376.2 on 15 March 2026. This completes the full request and keeps the INR 52,800 minimum protected."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,23606.99,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.3 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 April 2025. None of the available options keeps the USD 1,300 minimum protected."
request_249,127.76,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.2 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum.
request_250,15156.02,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 15,156.02 is available today, the full amount cannot be completed safely within 90 days."
request_251,632.53,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,513.6 request. Although EUR 632.53 is available today, the full amount cannot be completed safely within 90 days."
request_252,3614544.71,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1365.54,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.6, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,621.03,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.2 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,175749.7,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 3,345,000 request. Although IDR 175,749.7 is available today, the full amount cannot be completed safely within 90 days."
request_256,151164.02,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available."
request_257,338.57,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,"Pay USD 1,352.4 in full on 15 November 2025. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.6 today. This leaves at least USD 500 available over the next 90 days."
request_259,203.91,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,6113506.37,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 6,113,506.37 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.4 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,5735.09,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546 request. Although ZAR 5,735.09 is available today, the full amount cannot be completed safely within 90 days."
request_264,22380.7,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,768.83,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1626.36,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1,500 available."
request_268,1037.68,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 January 2026. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,99.19,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.8 request. Although USD 99.19 is available today, the full amount cannot be completed safely within 90 days."
request_271,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
request_272,5414835.65,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,9490065.38,affordable_with_plan,partial_payment,2026-04-07:9490065.38|2026-04-15:6370934.62,2026-04-15,none,"Pay IDR 9,490,065.38 today and the remaining IDR 6,370,934.62 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2101.15,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-15,reduce_to:event_25181:51.60|stop:event_25180,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1,800 available."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
